conv1_pruning,conv2_pruning,conv3_pruning,conv4_pruning,conv5_pruning,conv1_bits,conv2_bits,conv3_bits,conv4_bits,conv5_bits,conv1_bram,conv2_bram,conv3_bram,conv4_bram,conv5_bram,brams,accuracy
18,36,72,72,132,6,8,6,6,6,3.5,8.5,12.5,12.5,22.5,59.5,0.6725288053365677
18,36,72,72,135,6,8,6,6,8,3.5,8.5,12.5,12.5,30.5,67.5,0.6773802304426926
18,36,72,72,126,6,8,6,6,8,3.5,8.5,12.5,12.5,28.5,65.5,0.6537295330503335
18,36,72,69,135,6,8,6,6,6,3.5,8.5,12.5,12.0,23.0,59.5,0.6719223771983021
18,36,72,69,132,6,8,6,6,6,3.5,8.5,12.5,12.0,22.5,59.0,0.6664645239539114
18,36,72,69,135,6,8,6,6,8,3.5,8.5,12.5,12.0,30.5,67.0,0.6682838083687083
18,36,72,69,126,6,8,6,6,8,3.5,8.5,12.5,12.0,28.5,65.0,0.648271679805943
18,36,72,72,135,6,8,6,8,6,3.5,8.5,12.5,16.5,23.0,64.0,0.6761673741661614
18,36,72,72,132,6,8,6,8,6,3.5,8.5,12.5,16.5,22.5,63.5,0.6761673741661614
18,36,72,72,135,6,8,6,8,8,3.5,8.5,12.5,16.5,30.5,71.5,0.6749545178896301
18,36,72,72,126,6,8,6,8,8,3.5,8.5,12.5,16.5,28.5,69.5,0.6464523953911462
18,36,72,63,135,6,8,6,8,6,3.5,8.5,12.5,14.5,23.0,62.0,0.6003638568829593
18,36,72,63,132,6,8,6,8,6,3.5,8.5,12.5,14.5,22.5,61.5,0.5864160097028502
18,36,72,63,135,6,8,6,8,8,3.5,8.5,12.5,14.5,30.5,69.5,0.6015767131594906
18,36,72,63,126,6,8,6,8,8,3.5,8.5,12.5,14.5,28.5,67.5,0.5876288659793815
18,36,69,72,135,6,8,6,6,6,3.5,8.5,12.0,12.5,23.0,59.5,0.6555488174651304
18,36,69,72,132,6,8,6,6,6,3.5,8.5,12.0,12.5,22.5,59.0,0.6422073984232869
18,36,69,72,135,6,8,6,6,8,3.5,8.5,12.0,12.5,30.5,67.0,0.6537295330503335
18,36,69,72,126,6,8,6,6,8,3.5,8.5,12.0,12.5,28.5,65.0,0.624620982413584
18,36,69,69,135,6,8,6,6,6,3.5,8.5,12.0,12.0,23.0,59.0,0.6591873862947241
18,36,69,69,132,6,8,6,6,6,3.5,8.5,12.0,12.0,22.5,58.5,0.6549423893268648
18,36,69,69,135,6,8,6,6,8,3.5,8.5,12.0,12.0,30.5,66.5,0.6622195269860521
18,36,69,69,126,6,8,6,6,8,3.5,8.5,12.0,12.0,28.5,64.5,0.6300788356579745
18,36,69,72,135,6,8,6,8,6,3.5,8.5,12.0,16.5,23.0,63.5,0.6555488174651304
18,36,69,72,132,6,8,6,8,6,3.5,8.5,12.0,16.5,22.5,63.0,0.6464523953911462
18,36,69,72,135,6,8,6,8,8,3.5,8.5,12.0,16.5,30.5,71.0,0.6525166767738023
18,36,69,72,126,6,8,6,8,8,3.5,8.5,12.0,16.5,28.5,69.0,0.6197695573074591
18,36,69,63,135,6,8,6,8,6,3.5,8.5,12.0,14.5,23.0,61.5,0.5894481503941783
18,36,69,63,132,6,8,6,8,6,3.5,8.5,12.0,14.5,22.5,61.0,0.5833838690115222
18,36,69,63,135,6,8,6,8,8,3.5,8.5,12.0,14.5,30.5,69.0,0.5955124317768344
18,36,69,63,126,6,8,6,8,8,3.5,8.5,12.0,14.5,28.5,67.0,0.5858095815645846
18,36,72,72,135,6,8,8,6,6,3.5,8.5,16.5,12.5,23.0,64.0,0.6791995148574894
18,36,72,72,132,6,8,8,6,6,3.5,8.5,16.5,12.5,22.5,63.5,0.6779866585809582
18,36,72,72,135,6,8,8,6,8,3.5,8.5,16.5,12.5,30.5,71.5,0.6810187992722863
18,36,72,72,126,6,8,8,6,8,3.5,8.5,16.5,12.5,28.5,69.5,0.6567616737416616
18,36,72,69,135,6,8,8,6,6,3.5,8.5,16.5,12.0,23.0,63.5,0.6737416616130989
18,36,72,69,132,6,8,8,6,6,3.5,8.5,16.5,12.0,22.5,63.0,0.6688902365069739
18,36,72,69,135,6,8,8,6,8,3.5,8.5,16.5,12.0,30.5,71.0,0.6719223771983021
18,36,72,69,126,6,8,8,6,8,3.5,8.5,16.5,12.0,28.5,69.0,0.6525166767738023
18,36,72,72,135,6,8,8,8,6,3.5,8.5,16.5,16.5,23.0,68.0,0.6816252274105519
18,36,72,72,132,6,8,8,8,6,3.5,8.5,16.5,16.5,22.5,67.5,0.6810187992722863
18,36,72,72,135,6,8,8,8,8,3.5,8.5,16.5,16.5,30.5,75.5,0.6804123711340206
18,36,72,72,126,6,8,8,8,8,3.5,8.5,16.5,16.5,28.5,73.5,0.6567616737416616
18,36,72,63,135,6,8,8,8,6,3.5,8.5,16.5,14.5,23.0,66.0,0.6076409945421467
18,36,72,63,132,6,8,8,8,6,3.5,8.5,16.5,14.5,22.5,65.5,0.5924802910855064
18,36,72,63,135,6,8,8,8,8,3.5,8.5,16.5,14.5,30.5,73.5,0.6106731352334749
18,36,72,63,126,6,8,8,8,8,3.5,8.5,16.5,14.5,28.5,71.5,0.5973317161916313
18,36,63,72,135,6,8,8,6,6,3.5,8.5,14.5,12.5,23.0,62.0,0.564584596725288
18,36,63,72,132,6,8,8,6,6,3.5,8.5,14.5,12.5,22.5,61.5,0.540933899332929
18,36,63,72,135,6,8,8,6,8,3.5,8.5,14.5,12.5,30.5,69.5,0.5633717404487568
18,36,63,72,126,6,8,8,6,8,3.5,8.5,14.5,12.5,28.5,67.5,0.5166767738023045
18,36,63,69,135,6,8,8,6,6,3.5,8.5,14.5,12.0,23.0,61.5,0.5166767738023045
18,36,63,69,132,6,8,8,6,6,3.5,8.5,14.5,12.0,22.5,61.0,0.4990903577926016
18,36,63,69,135,6,8,8,6,8,3.5,8.5,14.5,12.0,30.5,69.0,0.5166767738023045
18,36,63,69,126,6,8,8,6,8,3.5,8.5,14.5,12.0,28.5,67.0,0.4651303820497271
18,36,63,72,135,6,8,8,8,6,3.5,8.5,14.5,16.5,23.0,66.0,0.5657974530018193
18,36,63,72,132,6,8,8,8,6,3.5,8.5,14.5,16.5,22.5,65.5,0.5439660400242571
18,36,63,72,135,6,8,8,8,8,3.5,8.5,14.5,16.5,30.5,73.5,0.572468162522741
18,36,63,72,126,6,8,8,8,8,3.5,8.5,14.5,16.5,28.5,71.5,0.5245603395997575
18,36,63,63,135,6,8,8,8,6,3.5,8.5,14.5,14.5,23.0,64.0,0.47058823529411764
18,36,63,63,132,6,8,8,8,6,3.5,8.5,14.5,14.5,22.5,63.5,0.4414796846573681
18,36,63,63,135,6,8,8,8,8,3.5,8.5,14.5,14.5,30.5,71.5,0.47483323226197693
18,36,63,63,126,6,8,8,8,8,3.5,8.5,14.5,14.5,28.5,69.5,0.4366282595512432
18,27,72,72,135,6,8,6,6,6,3.5,6.5,12.5,12.5,23.0,58.0,0.32201334141904187
18,27,72,72,132,6,8,6,6,6,3.5,6.5,12.5,12.5,22.5,57.5,0.3117040630685264
18,27,72,72,135,6,8,6,6,8,3.5,6.5,12.5,12.5,30.5,65.5,0.3226197695573075
18,27,72,72,126,6,8,6,6,8,3.5,6.5,12.5,12.5,28.5,63.5,0.2922983626440267
18,27,72,69,135,6,8,6,6,6,3.5,6.5,12.5,12.0,23.0,57.5,0.32019405700424497
18,27,72,69,132,6,8,6,6,6,3.5,6.5,12.5,12.0,22.5,57.0,0.3026076409945421
18,27,72,69,135,6,8,6,6,8,3.5,6.5,12.5,12.0,30.5,65.0,0.3232261976955731
18,27,72,69,126,6,8,6,6,8,3.5,6.5,12.5,12.0,28.5,63.0,0.2862340812613705
18,27,72,72,135,6,8,6,8,6,3.5,6.5,12.5,16.5,23.0,62.0,0.32686476652516677
18,27,72,72,132,6,8,6,8,6,3.5,6.5,12.5,16.5,22.5,61.5,0.31049120679199516
18,27,72,72,135,6,8,6,8,8,3.5,6.5,12.5,16.5,30.5,69.5,0.3274711946634324
18,27,72,72,126,6,8,6,8,8,3.5,6.5,12.5,16.5,28.5,67.5,0.2916919345057611
18,27,72,63,135,6,8,6,8,6,3.5,6.5,12.5,14.5,23.0,60.0,0.33717404487568226
18,27,72,63,132,6,8,6,8,6,3.5,6.5,12.5,14.5,22.5,59.5,0.32201334141904187
18,27,72,63,135,6,8,6,8,8,3.5,6.5,12.5,14.5,30.5,67.5,0.3402061855670103
18,27,72,63,126,6,8,6,8,8,3.5,6.5,12.5,14.5,28.5,65.5,0.3129169193450576
18,27,69,72,135,6,8,6,6,6,3.5,6.5,12.0,12.5,23.0,57.5,0.30442692540933897
